Ticker,Sharpe Ratio
AHT.L,1.21909360609173
HLMA.L,1.203396700463273
CRDA.L,1.169404868586161
ITRK.L,1.0717613735414164
CPG.L,1.0564781770423963
EXPN.L,1.048162292805752
DCC.L,1.0434930032354117
MNDI.L,1.0235075514295606
LSE.L,1.0067576266308607
DGE.L,0.9982630776571828
PSN.L,0.9867414187435906
BNZL.L,0.9841692994415708
SMDS.L,0.9697953557978168
GVC.L,0.962234695984731
BRBY.L,0.9597183217592345
WTB.L,0.9526824683787576
RTO.L,0.9510032787423023
BDEV.L,0.898584026025512
REL.L,0.8918779022710814
ULVR.L,0.8866850371581046
BKG.L,0.8733673317065133
NXT.L,0.8640642736118175
PRU.L,0.8507823166594306
SGE.L,0.8415171760636608
STJ.L,0.8401993647226422
INF.L,0.8287146790963487
SKG.L,0.8017435448236991
