,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2003.HK,2018.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK
2009-08-31,49.181049,36.148357,6.267512,60.169788,29.53063,74.562393,20.944193,86.739021,9.864276,65.808884,3.42,20.851065,8.773011,21.135763,4.118775,1.929459,15.581313,NaN,3.212513,110.431076,13.07279,23.499922,9.82583,11.595673,12.653431,6.664776,7.176753,3.922496,53.46936,20.059771,35.366638,23.286705,3.642512,13.623672,NaN,0.389519,NaN,3.704028,NaN,NaN,NaN,7.023057,6.106403,26.050528,8.878709,0.769158,11.297994,29.142229,5.334864,2.31679
2009-09-30,50.507038,36.162254,6.005032,58.362682,29.320314,74.428902,22.915424,90.916481,10.065292,69.830681,3.35,21.509926,9.518824,22.135181,4.151948,2.596997,15.611429,NaN,3.335895,109.880867,13.37495,25.549879,9.092024,11.986205,11.497077,7.405016,8.434367,4.315379,53.233395,20.324903,38.3694,24.559389,3.67593,15.340671,NaN,0.602489,NaN,3.989437,NaN,NaN,NaN,8.21062,6.53809,29.481577,9.845341,0.80412,12.33229,31.559954,5.426531,2.600707
2009-10-31,49.046703,36.474594,5.976614,60.705227,29.672726,75.697197,22.463629,87.270714,9.426632,64.702499,3.36,20.424742,9.5161,21.316107,4.902736,3.584588,15.804162,NaN,3.192361,108.623276,13.046014,26.705305,9.324696,13.171385,11.130751,7.405016,8.37823,4.372413,52.226265,21.057335,42.492691,26.072853,3.67593,14.468843,NaN,0.757535,NaN,4.154344,6.607934,NaN,NaN,9.046731,7.181695,30.625252,10.673244,0.917745,12.021278,33.502766,5.283578,2.481462
2009-11-30,50.507038,36.405178,6.333905,59.884785,29.74321,77.294167,24.220636,89.647881,9.445592,68.375893,3.22,20.851065,9.813493,23.048512,4.920828,3.90464,16.112537,NaN,3.429931,109.56646,12.842439,31.494738,9.199409,13.292567,10.877138,7.189037,8.588739,4.226665,52.406113,21.64327,44.287041,26.141647,3.600741,14.22743,NaN,0.838743,NaN,4.084577,6.714397,NaN,NaN,10.785846,8.052917,28.803835,12.485682,1.00515,11.96719,33.114201,5.169215,2.384925
2009-12-31,46.352695,36.803036,5.515373,55.999645,30.624228,73.520432,20.384314,77.314552,7.575391,61.72015,2.95,19.572094,8.326605,19.960312,4.504728,3.154803,12.766681,NaN,3.02408,103.985977,10.900417,27.059389,7.866035,12.985905,10.623523,6.787933,7.746706,3.789421,53.053555,21.203819,39.705627,22.977135,3.316691,11.330441,NaN,0.764932,NaN,3.615229,7.793244,NaN,NaN,10.735682,7.723266,25.754019,10.740373,1.22366,11.020633,29.919353,4.511629,2.129403
2010-01-31,47.687126,37.609196,5.677783,57.506813,30.624228,76.485497,21.752975,83.095802,8.427627,63.029488,2.98,20.851065,9.5161,22.332958,4.604231,3.566299,13.352587,NaN,3.014184,102.099602,12.325611,28.363903,8.331373,13.483269,10.863047,6.687656,8.588739,3.719722,55.103752,21.386927,40.736477,22.977135,3.467071,13.004256,NaN,0.848806,NaN,3.482038,7.949392,NaN,NaN,10.133678,8.194195,25.076281,10.359983,1.284843,11.831967,29.746658,4.883309,2.140755
2010-02-28,50.355988,38.906055,6.288434,52.985313,32.456749,72.913918,22.686083,90.033302,8.995759,67.93943,3.58,22.788895,9.839375,23.720041,4.984146,3.758331,14.30855,NaN,3.147817,101.863815,13.735191,29.034801,7.82129,13.220782,11.70842,7.003912,8.967653,4.030227,53.736958,22.009491,44.210682,23.080324,4.010106,13.583655,NaN,1.023271,NaN,3.754769,8.744331,NaN,NaN,10.852733,8.79071,28.337898,10.829875,1.547056,12.521602,32.121216,5.289299,2.350858
2010-03-31,48.870495,38.20504,6.171496,54.291893,32.351028,73.348465,20.67461,85.190598,8.321115,63.975105,3.7,21.605225,9.247226,21.59812,5.345972,3.090793,13.275495,NaN,3.113168,101.628021,12.043741,30.451132,8.787765,13.220782,11.215287,7.019339,9.71145,4.068244,55.57135,21.350306,45.966885,23.389896,4.787064,11.652329,NaN,1.160824,NaN,3.659628,9.099214,NaN,NaN,10.785846,8.084311,28.740307,10.583742,1.564537,12.778523,30.869175,5.163493,2.31679
2010-04-30,44.665768,39.072861,6.145515,47.752731,33.681004,71.017769,19.659595,79.754555,7.476824,62.520294,3.46,20.898144,8.33555,20.764505,5.568324,2.496409,10.962692,NaN,3.063677,95.434776,12.02805,27.991188,8.537197,12.958296,10.975763,6.579667,8.743111,3.992203,53.017582,21.230427,43.294426,21.601255,3.834663,11.84546,NaN,1.100434,NaN,3.659628,8.190714,NaN,NaN,9.230678,6.899137,26.537653,10.38236,1.477133,11.886056,30.212881,4.783673,2.285612
2010-05-31,47.100262,40.212631,7.08732,48.777946,33.753666,72.443871,19.51111,83.404472,7.681189,66.446609,4.24,20.937426,9.143002,22.848534,5.985495,2.210997,11.422345,NaN,3.142869,97.828636,11.495537,24.617397,9.593313,13.733082,12.770161,6.876991,9.53378,4.017548,57.360249,21.833776,49.06958,19.94285,4.105382,12.065998,NaN,1.026623,NaN,3.740636,8.304276,NaN,NaN,9.489531,7.297627,27.542671,11.411644,1.353594,12.470259,30.521183,5.059532,2.441176
