AAN
ACHC
ACIW
ADNT
ATGE
ACM
ACXM
ACC
AEO
AFG
AGCO
AHL
AKRX
ALE
ALEX
APY
ATI
AMCX
AN
ARW
ARRS
ASB
ASH
ATO
ATR
AVT
AYI
BBBY
BC
BCO
BDC
BID
BIG
BIO
BKH
BLKB
BMS
BOH
BRO
BXS
BYD
CABO
CAKE
CAR
CARS
CASY
CATY
CBSH
CBT
CC
CDK
CFR
CGNX
CHE
CHDN
CHFC
CHK
CIEN
CLB
CLGX
CLH
CLI
CMC
CMD
CMP
CNK
CNO
COHR
CONE
COR
CPE
CPT
CR
CREE
CRI
CRL
CRS
CRUS
CNX
CSL
CTLT
CUZ
CVG
CVLT
CXW
CW
CBRL
CY
DAN
DCI
DDS
DECK
DEI
DKS
DLPH
DLX
DNB
DNKN
DNOW
DO
DPZ
DRQ
DY
EAT
EGN
EHC
EME
ENR
ENS
EPC
EPR
ERI
ESL
ESV
EV
EVR
EWBC
EXEL
EXP
FAF
FDS
FHN
FICO
FII
FIVE
FLO
FR
FNB
FSLR
FTNT
FULT
GATX
GEF
GEO
GGG
GHC
GME
GMED
GNTX
GNW
GPOR
GVA
GWR
HAE
HAIN
HBHC
HCSG
HE
HELE
HIW
HNI
HOMB
HPT
HQY
HR
HRC
HUBB
HYH
IART
IBKR
IBOC
ICUI
IDA
IDCC
IDTI
IEX
INGR
INT
ISCA
ITT
JACK
JBGS
JBL
JHG
JBLU
JCOM
JKHY
JLL
JW.A
KBH
KBR
KEX
KEYS
KMPR
KMT
KNX
KRC
LAMR
LANC
LDOS
LECO
LFUS
LHO
LII
LITE
LIVN
LM
LOGM
LPNT
LPT
LPX
LSI
LSTR
LW
LYV
MAN
MANH
MASI
MBFI
MCY
MD
MDP
MDR
MDRX
MDSO
MDU
MIK
MKSI
MKTX
MLHR
MMS
MNK
MOH
MPW
MPWR
MSA
MSM
MTDR
MTX
MUR
MUSA
NATI
NAVI
NBR
NCR
NDSN
NEU
NFG
NJR
NNN
NTCT
NUS
NUVA
NVR
NVT
NWE
NYCB
NYT
OAS
ODFL
ODP
OFC
OGE
OGS
OHI
OII
OLLI
OLN
OI
ORI
OSK
OZK
PACW
PBF
PB
PBH
PBI
PCH
PDCO
PII
PLT
PNFP
PNM
POL
POOL
POST
PRAH
PRI
PTC
PTEN
PZZA
QEP
R
RBC
RDC
RGA
RGLD
RIG
RLGY
RNR
ROL
RPM
RRC
RS
RYN
SABR
SAFM
SAIC
SAM
SBH
SBNY
SBRA
SCI
SEIC
SF
SFM
SGMS
SIG
SIX
SKT
SKX
SLAB
SLGN
SLM
SM
SMG
SNH
SNV
SNX
SON
SPN
STE
STL
STLD
SWN
SWX
SXT
SYNA
SYNH
TCF
TCBI
TCO
TDC
TDS
TDY
TECD
TECH
TER
TEX
TFX
TGNA
THC
THG
THO
THS
TKR
TOL
TPH
TPX
TR
TREE
TRMB
TRMK
TRN
TTC
TUP
TXRH
TYL
UBSI
UE
UFS
UGI
ULTI
UMBF
UMPQ
UNFI
UTHR
UNIT
URBN
VAC
VC
VLY
VMI
VVV
VVC
VSM
VSAT
VSH
WRB
WAB
WAFD
WBS
WEN
WERN
WEX
WOR
WPX
WRI
WSM
WSO
WST
WTFC
WTR
WTW
WWD
WWE
WYND
X
Y
ZBRA
